order_id,order_date,order_time,pizza_id,pizza_name,pizza_category,pizza_size,quantity,unit_price,total_price
10001,2024-04-03,19:22:00,P05,Chicken Supreme,Chicken,Small,1,14.45,14.45
10002,2024-04-09,13:57:00,P14,Mexican Green,Specialty,Small,1,8.5,8.5
10003,2024-12-22,20:18:00,P11,Cheese Burst,Cheese,Large,2,20.62,41.24
10004,2024-12-22,14:07:00,P08,Veggie Supreme,Veggie,Medium,2,15.5,31.0
10005,2024-11-22,17:12:00,P02,Pepperoni,Classic,Large,1,15.0,15.0
10006,2024-04-10,21:26:00,P02,Pepperoni,Classic,Large,1,15.0,15.0
10007,2024-03-22,17:40:00,P01,Margherita,Classic,Medium,1,8.0,8.0
10008,2024-05-09,10:59:00,P13,Farmhouse,Specialty,Medium,1,17.5,17.5
10009,2024-08-14,10:44:00,P09,Spinach Feta,Veggie,Medium,1,9.5,9.5
10010,2024-02-07,21:39:00,P10,Four Cheese,Cheese,XL,1,18.75,18.75
10011,2024-03-04,18:05:00,P01,Margherita,Classic,Large,1,10.0,10.0
10012,2024-04-21,15:48:00,P15,Truffle Mushroom,Specialty,Large,2,23.75,47.5
10013,2024-10-03,12:22:00,P12,Paneer Tikka,Specialty,Medium,1,13.0,13.0
10014,2024-11-27,18:28:00,P03,Hawaiian,Classic,Large,1,20.0,20.0
10015,2024-10-09,15:20:00,P02,Pepperoni,Classic,Medium,1,12.0,12.0
10016,2024-11-22,20:40:00,P02,Pepperoni,Classic,Medium,2,12.0,24.0
10017,2024-05-12,14:57:00,P04,BBQ Chicken,Chicken,Large,1,16.88,16.88
10018,2024-05-11,14:06:00,P07,Veggie Garden,Veggie,Small,1,9.78,9.78
10019,2024-02-04,13:56:00,P06,Buffalo Chicken,Chicken,XL,1,15.75,15.75
10020,2024-08-07,11:55:00,P04,BBQ Chicken,Chicken,Small,2,11.47,22.94
10021,2024-07-03,14:06:00,P09,Spinach Feta,Veggie,Large,1,11.88,11.88
10022,2024-12-07,10:30:00,P02,Pepperoni,Classic,Medium,2,12.0,24.0
10023,2024-10-23,19:10:00,P04,BBQ Chicken,Chicken,Medium,3,13.5,40.5
10024,2024-07-11,17:18:00,P05,Chicken Supreme,Chicken,Medium,2,17.0,34.0
10025,2024-08-23,15:41:00,P06,Buffalo Chicken,Chicken,Medium,1,10.5,10.5
10026,2024-09-04,14:55:00,P12,Paneer Tikka,Specialty,Medium,1,13.0,13.0
10027,2024-03-11,16:54:00,P02,Pepperoni,Classic,Large,1,15.0,15.0
10028,2024-06-30,15:26:00,P07,Veggie Garden,Veggie,Small,4,9.78,39.12
10029,2024-04-14,15:47:00,P08,Veggie Supreme,Veggie,Small,1,13.17,13.17
10030,2024-02-08,16:01:00,P01,Margherita,Classic,Small,1,6.8,6.8
10031,2024-02-29,17:43:00,P09,Spinach Feta,Veggie,Medium,2,9.5,19.0
10032,2024-10-25,15:19:00,P02,Pepperoni,Classic,Large,1,15.0,15.0
10033,2024-06-03,22:22:00,P01,Margherita,Classic,Large,1,10.0,10.0
10034,2024-08-27,17:16:00,P14,Mexican Green,Specialty,Medium,1,10.0,10.0
10035,2024-05-01,22:12:00,P15,Truffle Mushroom,Specialty,Medium,1,19.0,19.0
10036,2024-12-05,19:24:00,P12,Paneer Tikka,Specialty,Large,2,16.25,32.5
10037,2024-08-01,13:47:00,P04,BBQ Chicken,Chicken,Medium,1,13.5,13.5
10038,2024-11-12,10:39:00,P02,Pepperoni,Classic,Medium,1,12.0,12.0
10039,2024-11-26,18:04:00,P10,Four Cheese,Cheese,Medium,1,12.5,12.5
10040,2024-03-25,19:15:00,P06,Buffalo Chicken,Chicken,Small,2,8.92,17.84
10041,2024-02-09,14:47:00,P02,Pepperoni,Classic,Small,2,10.2,20.4
10042,2024-04-05,13:37:00,P07,Veggie Garden,Veggie,Small,1,9.78,9.78
10043,2024-09-06,14:07:00,P01,Margherita,Classic,Medium,2,8.0,16.0
10044,2024-03-13,22:16:00,P13,Farmhouse,Specialty,Small,1,14.88,14.88
10045,2024-06-17,22:08:00,P03,Hawaiian,Classic,Medium,3,16.0,48.0
10046,2024-07-16,20:41:00,P10,Four Cheese,Cheese,Medium,1,12.5,12.5
10047,2024-04-10,16:42:00,P04,BBQ Chicken,Chicken,Small,2,11.47,22.94
10048,2024-10-06,18:56:00,P07,Veggie Garden,Veggie,Medium,1,11.5,11.5
10049,2024-04-15,20:34:00,P08,Veggie Supreme,Veggie,Large,1,19.38,19.38
10050,2024-06-05,17:16:00,P02,Pepperoni,Classic,Small,1,10.2,10.2
10051,2024-08-27,14:28:00,P15,Truffle Mushroom,Specialty,Large,3,23.75,71.25
10052,2024-04-18,11:49:00,P11,Cheese Burst,Cheese,Medium,1,16.5,16.5
10053,2024-01-24,14:13:00,P14,Mexican Green,Specialty,Large,3,12.5,37.5
10054,2024-09-08,20:34:00,P13,Farmhouse,Specialty,Medium,1,17.5,17.5
10055,2024-07-27,20:54:00,P08,Veggie Supreme,Veggie,Medium,1,15.5,15.5
10056,2024-01-27,21:02:00,P14,Mexican Green,Specialty,Large,1,12.5,12.5
10057,2024-01-02,13:17:00,P01,Margherita,Classic,Medium,2,8.0,16.0
